"";"Camargo - - Vivienda libre hasta 5 años de antigüedad - Precio del metro cuadrado";"Camargo - - Vivienda libre hasta 5 años de antigüedad - Tasaciones";"Camargo - - Vivienda libre con más de 5 años de antigüedad - Precio del metro cuadrado";"Camargo - - Vivienda libre con más de 5 años de antigüedad - Tasaciones";"Camargo - Total - Precio del metro cuadrado";"Camargo - Total - Tasaciones";"Castro-Urdiales - - Vivienda libre hasta 5 años de antigüedad - Precio del metro cuadrado";"Castro-Urdiales - - Vivienda libre hasta 5 años de antigüedad - Tasaciones";"Castro-Urdiales - - Vivienda libre con más de 5 años de antigüedad - Precio del metro cuadrado";"Castro-Urdiales - - Vivienda libre con más de 5 años de antigüedad - Tasaciones";"Castro-Urdiales - Total - Precio del metro cuadrado";"Castro-Urdiales - Total - Tasaciones";"Santander - - Vivienda libre hasta 5 años de antigüedad - Precio del metro cuadrado";"Santander - - Vivienda libre hasta 5 años de antigüedad - Tasaciones";"Santander - - Vivienda libre con más de 5 años de antigüedad - Precio del metro cuadrado";"Santander - - Vivienda libre con más de 5 años de antigüedad - Tasaciones";"Santander - Total - Precio del metro cuadrado";"Santander - Total - Tasaciones";"Torrelavega - - Vivienda libre hasta 5 años de antigüedad - Precio del metro cuadrado";"Torrelavega - - Vivienda libre hasta 5 años de antigüedad - Tasaciones";"Torrelavega - - Vivienda libre con más de 5 años de antigüedad - Precio del metro cuadrado";"Torrelavega - - Vivienda libre con más de 5 años de antigüedad - Tasaciones";"Torrelavega - Total - Precio del metro cuadrado";"Torrelavega - Total - Tasaciones"
"2007 - 1";"";"";"";"";"2260.70";"43";"";"";"";"";"2755.10";"196";"";"";"";"";"2555.70";"687";"";"";"";"";"1704.90";"158"
"2007 - 2";"";"";"";"";"2056.50";"37";"";"";"";"";"2865.80";"196";"";"";"";"";"2606.80";"551";"";"";"";"";"1807.30";"174"
"2007 - 3";"";"";"";"";"2033.40";"21";"";"";"";"";"2788.30";"107";"";"";"";"";"2622.60";"509";"";"";"";"";"1892.70";"164"
"2007 - 4";"";"";"";"";"2435.50";"69";"";"";"";"";"2703.60";"143";"";"";"";"";"2490.00";"419";"";"";"";"";"1747.60";"121"
"2008";"";"";"";"";"";"184";"";"";"";"";"";"598";"";"";"";"";"";"2010";"";"";"";"";"";"432"
"2008 - 1";"";"";"";"";"1970.10";"31";"";"";"";"";"2691.00";"145";"";"";"";"";"2616.70";"646";"";"";"";"";"1791.00";"139"
"2008 - 2";"";"";"";"";"2235.50";"109";"";"";"";"";"2557.90";"247";"";"";"";"";"2583.00";"593";"";"";"";"";"1757.50";"126"
"2008 - 3";"";"";"";"";"1918.80";"23";"";"";"";"";"2296.20";"120";"";"";"";"";"2615.80";"428";"";"";"";"";"1756.70";"97"
"2008 - 4";"";"";"";"";"2032.80";"21";"";"";"";"";"2432.40";"86";"";"";"";"";"2500.50";"343";"";"";"";"";"1681.40";"70"
"2009";"";"";"";"";"";"158";"";"";"";"";"";"550";"";"";"";"";"";"1675";"";"";"";"";"";"437"
"2009 - 1";"";"";"";"";"1733.30";"41";"";"";"";"";"2246.00";"141";"";"";"";"";"2380.10";"386";"";"";"";"";"1749.30";"167"
"2009 - 2";"";"";"";"";"1838.00";"51";"";"";"";"";"2167.60";"174";"";"";"";"";"2503.60";"466";"";"";"";"";"1529.10";"88"
"2009 - 3";"";"";"";"";"1698.70";"23";"";"";"";"";"2376.20";"122";"";"";"";"";"2405.50";"337";"";"";"";"";"1583.20";"79"
"2009 - 4";"";"";"";"";"1736.00";"43";"";"";"";"";"2348.00";"113";"";"";"";"";"2445.00";"486";"";"";"";"";"1535.80";"103"
"2010";"";"14";"";"109";"";"123";"";"111";"";"449";"";"560";"";"643";"";"1392";"";"2035";"";"64";"";"316";"";"380"
"2010 - 1";"1629.10";"0";"1675.00";"34";"1673.00";"34";"";"13";"2304.70";"116";"2286.00";"129";"2539.20";"269";"2444.90";"291";"2450.50";"560";"1540.50";"37";"1596.20";"69";"1592.60";"106"
"2010 - 2";"";"4";"1710.60";"29";"1706.60";"33";"2385.10";"61";"2400.30";"131";"2399.00";"192";"2488.30";"193";"2319.70";"372";"2329.80";"565";"";"11";"1503.50";"85";"1501.90";"96"
"2010 - 3";"";"5";"1668.50";"22";"1670.50";"27";"";"16";"2373.70";"76";"2363.80";"92";"2357.20";"48";"2233.40";"302";"2240.80";"350";"";"5";"1436.00";"65";"1441.20";"70"
"2010 - 4";"";"5";"1671.80";"24";"1673.50";"29";"2022.60";"21";"2296.20";"126";"2272.10";"147";"2333.40";"133";"2296.50";"427";"2298.70";"560";"";"11";"1456.70";"97";"1459.90";"108"
"2011";"";"44";"";"146";"";"190";"";"82";"";"334";"";"416";"";"277";"";"1023";"";"1300";"";"38";"";"284";"";"322"
"2011 - 1";"";"5";"1620.40";"36";"1630.20";"41";"";"16";"2180.10";"100";"2162.70";"116";"2120.70";"81";"2116.90";"304";"2117.10";"385";"";"10";"1369.30";"83";"1366.00";"93"
"2011 - 2";"";"10";"1693.50";"43";"1698.80";"53";"2080.50";"30";"2199.30";"90";"2192.20";"120";"2019.10";"76";"2084.00";"264";"2080.40";"340";"";"5";"1537.40";"77";"1526.60";"82"
"2011 - 3";"";"19";"1725.80";"34";"1726.60";"53";"1871.40";"21";"2042.20";"68";"2031.90";"89";"2299.00";"27";"2300.50";"252";"2300.40";"279";"";"11";"1552.50";"56";"1547.00";"67"
"2011 - 4";"";"10";"1706.50";"33";"1707.20";"43";"";"15";"2325.80";"76";"2315.20";"91";"2041.90";"93";"2137.30";"203";"2131.90";"296";"";"12";"1627.50";"68";"1626.20";"80"
"2012";"";"14";"";"116";"";"130";"";"48";"";"247";"";"295";"";"143";"";"639";"";"782";"";"20";"";"194";"";"214"
"2012 - 1";"";"5";"1547.40";"34";"1555.40";"39";"";"4";"2181.80";"50";"2180.70";"54";"2143.80";"25";"2117.50";"145";"2118.70";"170";"";"4";"1446.30";"36";"1442.50";"40"
"2012 - 2";"";"2";"1597.30";"21";"1609.10";"23";"";"20";"2150.40";"82";"2158.90";"102";"2055.80";"37";"2006.70";"165";"2009.00";"202";"";"5";"1357.50";"60";"1356.20";"65"
"2012 - 3";"";"2";"1496.50";"29";"1505.10";"31";"";"7";"2070.00";"41";"2074.50";"48";"2120.60";"32";"2043.40";"148";"2046.90";"180";"";"5";"1430.40";"42";"1423.20";"47"
"2012 - 4";"";"5";"1393.80";"32";"1400.80";"37";"";"17";"1930.90";"74";"1935.40";"91";"1833.70";"49";"1783.60";"181";"1785.90";"230";"";"6";"1308.20";"56";"1301.30";"62"
"2013";"";"7";"";"92";"";"99";"";"19";"";"291";"";"310";"";"115";"";"633";"";"748";"";"30";"";"158";"";"188"
"2013 - 1";"";"1";"";"19";"";"20";"";"7";"1971.50";"61";"1976.60";"68";"2110.20";"28";"1844.60";"188";"1853.10";"216";"";"4";"1233.00";"48";"1228.40";"52"
"2013 - 2";"";"2";"1373.60";"22";"1379.30";"24";"";"4";"2068.50";"119";"2073.60";"123";"";"20";"1819.60";"165";"1829.30";"185";"";"1";"1199.30";"42";"1195.20";"43"
"2013 - 3";"";"1";"1281.40";"24";"1290.30";"25";"";"0";"1968.60";"37";"1974.70";"37";"2050.80";"28";"1804.50";"81";"1812.40";"109";"";"8";"1157.90";"27";"1154.30";"35"
"2013 - 4";"";"3";"1316.50";"27";"1325.20";"30";"";"8";"1831.60";"74";"1838.60";"82";"1864.20";"39";"1737.00";"199";"1739.20";"238";"";"17";"1035.50";"41";"1036.10";"58"
"2014";"";"7";"";"122";"";"129";"";"22";"";"226";"";"248";"";"80";"";"884";"";"964";"";"24";"";"269";"";"293"
"2014 - 1";"";"5";"1204.50";"26";"1214.30";"31";"";"0";"1771.40";"60";"1779.20";"60";"1997.10";"29";"1822.60";"224";"1824.80";"253";"";"4";"1039.90";"69";"1038.60";"73"
"2014 - 2";"";"0";"1150.70";"29";"1163.50";"29";"";"7";"1788.80";"57";"1795.10";"64";"";"19";"1776.40";"230";"1786.60";"249";"";"5";"1030.30";"67";"1033.20";"72"
"2014 - 3";"";"1";"1153.30";"29";"1158.70";"30";"";"5";"1634.90";"53";"1642.40";"58";"";"13";"1731.10";"200";"1739.50";"213";"";"5";"988.90";"59";"996.70";"64"
"2014 - 4";"";"1";"1239.80";"38";"1242.00";"39";"";"10";"1685.30";"56";"1687.60";"66";"";"19";"1759.80";"230";"1767.00";"249";"";"10";"1012.90";"74";"1016.90";"84"
"2015";"";"9";"";"160";"";"169";"";"12";"";"285";"";"299";"";"91";"";"813";"";"1138";"";"8";"";"249";"";"257"
"2015 - 1";"";"3";"1260.00";"37";"1256.80";"40";"";"3";"1683.60";"62";"1688.40";"65";"";"17";"1617.90";"231";"1635.10";"248";"";"4";"978.10";"63";"982.90";"67"
"2015 - 2";"";"2";"1183.80";"40";"1183.60";"42";"";"4";"1798.80";"74";"1801.00";"78";"";"23";"1650.10";"265";"1662.20";"288";"";"2";"998.40";"67";"999.80";"69"
"2015 - 3";"";"3";"1110.10";"31";"1110.40";"34";"";"4";"1718.20";"59";"1720.20";"63";"1790.00";"21";"1678.60";"21";"1682.20";"276";"";"1";"963.40";"54";"966.10";"55"
"2015 - 4";"";"1";"1085.80";"52";"1086.00";"53";"";"1";"1705.20";"90";"1708.00";"93";"1671.40";"30";"1548.80";"296";"1552.80";"326";"";"1";"955.60";"65";"958.30";"66"
"2016";"";"13";"";"155";"";"168";"";"20";"";"293";"";"313";"";"95";"";"992";"";"1087";"";"37";"";"280";"";"317"
"2016 - 1";"";"3";"1143.80";"46";"1144.10";"49";"";"3";"1508.90";"64";"1511.80";"67";"1779.80";"27";"1618.00";"261";"1621.10";"288";"";"6";"962.50";"63";"965.10";"69"
"2016 - 2";"";"1";"1145.90";"34";"1146.20";"35";"";"6";"1612.90";"74";"1615.40";"80";"1832.80";"23";"1674.10";"243";"1677.10";"266";"";"5";"941.80";"86";"943.50";"91"
"2016 - 3";"";"4";"1199.10";"33";"1198.80";"37";"";"6";"1620.30";"80";"1623.30";"86";"1797.60";"29";"1673.50";"212";"1675.90";"241";"965.70";"24";"897.60";"56";"898.40";"80"
"2016 - 4";"";"5";"1234.10";"42";"1232.60";"47";"";"5";"1595.60";"75";"1598.50";"80";"";"16";"1604.00";"276";"1609.00";"292";"";"2";"967.60";"75";"968.20";"77"
"2017";"";"10";"";"211";"";"221";"";"39";"";"386";"";"425";"";"102";"";"1490";"";"1592";"";"21";"";"420";"";"441"
"2017 - 1";"";"2";"1233.40";"39";"1232.80";"41";"";"16";"1633.40";"81";"1636.20";"97";"1673.90";"23";"1606.80";"327";"1607.70";"350";"";"7";"907.50";"100";"956.40";"107"
"2017 - 2";"";"4";"1214.00";"55";"1213.90";"59";"";"11";"1641.20";"106";"1644.90";"117";"1813.80";"34";"1598.20";"411";"1601.20";"445";"";"2";"947.00";"96";"947.30";"98"
"2017 - 3";"";"2";"1190.00";"56";"1189.90";"58";"";"4";"1634.90";"98";"1638.30";"102";"1737.90";"30";"1582.90";"307";"1585.10";"337";"";"5";"974.60";"87";"975.10";"92"
"2017 - 4";"";"2";"1211.00";"61";"1210.50";"63";"";"8";"1609.10";"101";"1611.60";"109";"";"15";"1705.40";"445";"1706.00";"460";"";"7";"981.10";"137";"981.60";"144"
"2018";"";"16";"";"197";"";"213";"";"129";"";"430";"";"480";"";"98";"";"1498";"";"1596";"";"21";"";"381";"";"402"
"2018 - 1";"";"0";"1227.40";"42";"1226.80";"42";"";"8";"1655.60";"157";"1655.80";"165";"";"16";"1563.50";"354";"1567.40";"370";"";"9";"1002.00";"85";"1002.80";"94"
"2018 - 2";"";"10";"1275.30";"51";"1274.90";"61";"1846.30";"114";"1785.20";"90";"1786.00";"204";"1756.70";"27";"1550.00";"418";"1552.90";"445";"";"7";"949.70";"92";"950.90";"99"
"2018 - 3";"";"3";"1176.00";"56";"1176.30";"59";"";"4";"1709.80";"75";"1711.70";"111";"1625.60";"21";"1609.80";"379";"1610.00";"400";"";"2";"898.50";"98";"900.00";"100"
"2018 - 4";"";"3";"1202.80";"48";"1203.10";"51";"";"3";"1687.90";"108";"1689.50";"";"1752.90";"34";"1718.50";"347";"1719.00";"381";"";"3";"989.50";"106";"989.90";"109"
"2019";"";"5";"";"278";"";"283";"";"31";"";"434";"";"465";"";"138";"";"1633";"";"1771";"";"21";"";"499";"";"520"
"2019 - 1";"";"1";"1283.20";"56";"1283.00";"57";"";"13";"1692.50";"93";"1695.10";"106";"1939.10";"33";"1675.80";"377";"1678.60";"410";"";"3";"963.00";"121";"964.00";"124"
"2019 - 2";"";"0";"1274.30";"104";"1274.20";"104";"";"6";"1761.80";"108";"1764.40";"114";"1895.50";"32";"1706.80";"428";"1708.90";"460";"";"10";"1003.40";"188";"1003.90";"198"
"2019 - 3";"";"4";"1227.70";"59";"1227.90";"63";"";"7";"1793.70";"105";"1794.80";"112";"1835.10";"36";"1765.80";"353";"1766.60";"389";"";"7";"948.60";"78";"951.20";"85"
"2019 - 4";"";"0";"1297.60";"59";"1297.30";"59";"";"5";"1744.30";"128";"1749.10";"133";"1925.90";"37";"1690.80";"475";"1693.30";"512";"";"1";"1011.80";"112";"1014.00";"113"
"2020";"";"35";"";"230";"";"265";"";"26";"";"399";"";"425";"";"172";"";"1330";"";"1502";"";"18";"";"393";"";"411"
"2020 - 1";"";"8";"1258.00";"52";"1258.10";"60";"";"7";"1721.60";"85";"1729.20";"92";"2081.30";"52";"1696.60";"362";"1701.00";"414";"";"7";"958.80";"128";"960.90";"135"
"2020 - 2";"";"14";"1255.60";"51";"1255.80";"65";"";"9";"1765.50";"66";"1767.70";"75";"2056.80";"33";"1624.90";"213";"1629.80";"246";"";"1";"1030.20";"58";"1031.40";"59"
"2020 - 3";"";"5";"1289.30";"47";"1289.40";"52";"";"5";"1797.30";"119";"1801.50";"124";"2075.20";"29";"1729.60";"349";"1733.60";"378";"";"3";"994.70";"89";"996.60";"92"
"2020 - 4";"";"8";"1256.70";"80";"1256.80";"88";"";"5";"1847.00";"129";"1853.80";"134";"2233.10";"58";"1648.50";"406";"1655.20";"464";"";"7";"969.60";"118";"971.80";"125"
"2021";"";"85";"";"264";"";"349";"";"102";"";"504";"";"606";"";"247";"";"1559";"";"1806";"";"28";"";"411";"";"439"
"2021 - 1";"";"5";"1232.00";"60";"1232.20";"65";"";"1";"1835.20";"119";"1842.70";"120";"2055.90";"60";"1704.00";"371";"1708.10";"431";"";"9";"1025.40";"98";"1026.90";"107"
"2021 - 2";"";"3";"1244.50";"71";"1244.60";"74";"";"10";"1833.20";"140";"1837.80";"150";"2046.20";"62";"1743.80";"428";"1747.30";"490";"";"9";"987.00";"123";"988.00";"132"
"2021 - 3";"1311.50";"71";"1323.00";"67";"1322.90";"138";"2160.20";"88";"1974.90";"127";"1980.00";"215";"2087.90";"43";"1807.40";"331";"1810.60";"374";"";"4";"1035.40";"80";"1035.30";"84"
"2021 - 4";"";"6";"1369.20";"66";"1369.00";"72";"";"3";"1910.90";"118";"1917.60";"121";"1928.90";"82";"1787.50";"429";"1789.10";"511";"";"6";"1009.00";"110";"1009.50";"116"
"2022";"";"100";"";"278";"";"378";"";"23";"";"572";"";"595";"";"336";"";"1777";"";"2031";"";"22";"";"515";"";"537"
"2022 - 1";"1326.30";"74";"1335.80";"59";"1335.70";"133";"";"5";"1961.90";"147";"1963.00";"152";"1913.90";"141";"1743.50";"459";"1746.50";"600";"";"5";"994.80";"140";"995.70";"145"
"2022 - 2";"";"8";"1364.00";"80";"1363.50";"88";"";"5";"1940.50";"156";"1941.70";"161";"2064.80";"34";"1787.60";"495";"1792.50";"529";"";"4";"1039.10";"131";"1039.40";"135"
"2022 - 3";"";"9";"1458.00";"58";"1457.60";"67";"";"7";"2083.10";"133";"2082.30";"140";"2222.90";"79";"1906.90";"373";"1912.50";"452";"";"7";"999.70";"114";"1000.30";"121"
"2022 - 4";"";"9";"1387.80";"81";"1388.30";"90";"";"6";"2034.50";"136";"2036.90";"142";"2369.80";"82";"1875.20";"450";"1883.90";"450";"";"6";"1007.20";"130";"1007.90";"136"
"2023";"";"18";"";"225";"";"243";"";"15";"";"494";"";"509";"";"212";"";"1534";"";"1746";"";"19";"";"408";"";"427"
"2023 - 1";"";"4";"1262.40";"49";"1263.60";"53";"";"9";"1975.60";"117";"1976.90";"126";"2271.30";"26";"1884.30";"369";"1892.20";"395";"";"8";"1032.40";"120";"1032.50";"128"
"2023 - 2";"";"6";"1380.90";"46";"1382.10";"52";"";"2";"2006.40";"121";"2008.50";"123";"2076.90";"45";"1984.20";"362";"1986.10";"407";"";"4";"1067.10";"99";"1066.60";"103"
"2023 - 3";"";"5";"1397.10";"68";"1397.70";"73";"";"2";"2055.70";"110";"2057.70";"112";"2269.50";"47";"2073.50";"353";"2077.50";"400";"";"2";"1063.30";"73";"1063.20";"75"
"2023 - 4";"";"3";"1440.70";"62";"1440.70";"65";"";"2";"2089.30";"146";"2091.10";"148";"2104.50";"94";"2003.00";"450";"2005.10";"544";"";"5";"1049.10";"116";"1049.40";"121"
"2024";"";"28";"";"283";"";"311";"";"57";"";"556";"";"613";"";"271";"";"1783";"";"2054";"";"29";"";"500";"";"529"
"2024 - 1";"";"6";"1558.50";"72";"1555.50";"78";"2374.00";"30";"2229.60";"146";"2232.10";"176";"2127.30";"28";"2166.30";"454";"2165.40";"482";"";"7";"1088.70";"135";"1089.10";"142"
"2024 - 2";"";"7";"1488.90";"72";"1488.60";"79";"";"18";"2151.70";"170";"2158.20";"188";"2383.20";"57";"2093.60";"490";"2100.50";"547";"";"7";"1151.40";"142";"1151.90";"149"
"2024 - 3";"";"10";"1580.90";"77";"1579.60";"87";"";"6";"2273.60";"113";"2277.80";"119";"2308.30";"47";"2272.80";"430";"2273.70";"477";"";"5";"1227.90";"117";"1228.00";"122"
"2024 - 4";"";"5";"1703.90";"62";"1702.70";"67";"";"3";"2337.20";"127";"2339.20";"130";"2273.90";"139";"2136.30";"409";"2139.50";"548";"";"10";"1200.40";"106";"1200.90";"116"
"2025";"";"13";"";"143";"";"156";"";"9";"";"305";"";"314";"";"98";"";"927";"";"1025";"";"13";"";"232";"";"245"
"2025 - 1";"";"9";"1777.50";"72";"1776.60";"81";"";"5";"2440.10";"148";"2440.30";"153";"2492.60";"53";"2297.30";"442";"2302.10";"495";"";"9";"1184.30";"95";"1185.10";"104"
"2025 - 2";"";"4";"1819.40";"71";"1817.80";"75";"";"4";"2514.40";"157";"2515.70";"161";"2615.40";"45";"2324.70";"485";"2331.80";"530";"";"4";"1293.30";"137";"1294.10";"141"
